Year,Avg_Temp,Precipitation,Max_Temp,Min_Temp,TEMP_NORM
2000,1.3296903460837888,14.785935128407505,23.529004283512478,12.762448207530175,0.20995443506882164
2001,1.2846575342465754,15.010464231354643,23.781355696378654,13.266931785122502,0.16105470474103423
2002,1.1774429223744292,15.069810326659642,24.045132219378797,13.060868834361985,0.04463369095450625
2003,1.6461187214611872,14.731866108155025,23.482257263284662,13.177005619950824,0.5535541703007253
2004,1.6780510018214938,15.104199384671901,23.55503281183721,13.269106470045164,0.5882284407863171
2005,1.845388127853881,14.321698113207548,23.66118721461187,13.654429223744293,0.7699346235223637
2006,1.6370776255707764,,24.28255707762557,13.831963470319636,0.5437367253562057
2007,1.580456621004566,,23.858721461187216,13.610684931506848,0.48225373681476813
2008,1.5243169398907102,,24.09462659380692,13.634972677595627,0.4212934024461514
2009,1.465662100456621,,23.54745220532892,12.755251141552511,0.3576019358525319
2010,1.7001826484018265,,23.549406392694063,13.483013698630137,0.6122605077467428
2011,1.9495890410958905,,23.56958904109589,13.18310502283105,0.8830831556607187
2012,1.1363387978142077,,24.526684881602915,14.163570127504554,0.0
2013,1.2104109589041097,18.361454545454546,24.048858447488584,13.82310502283105,0.08043265686331097
2014,1.4884931506849315,18.50054794520548,24.64164383561644,14.032511415525114,0.38239346349020814
2015,1.1461187214611872,18.26904109589041,24.877260273972606,14.123287671232875,0.010619715035614437
2016,1.2477231329690346,17.865300546448086,24.686612021857925,14.306284153005464,0.120948786664705
2017,1.3639269406392696,17.944383561643836,24.656255707762558,14.468127853881278,0.24713088869904648
2018,1.7231050228310503,18.04876712328767,24.548675799086755,14.55634703196347,0.6371512014949698
2019,1.741461187214612,17.429041095890412,23.756164383561643,14.010410958904108,0.6570835897156616
2020,1.2804775806572348,17.73688524590164,24.785719790227986,14.397130024702447,0.15651582309091014
2021,1.7174429223744294,16.638904109589042,24.256902754779464,14.296255707762556,0.6310029026408263
2022,1.2725114155251143,17.877808219178082,24.73917808219178,14.434246575342465,0.14786561203779053
2023,2.0572602739726027,16.598904109589043,23.809315068493152,14.214434492448191,1.0
